Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%,DayHigh,DayLow,Open,High,Low,Close
2015-07-27,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-1.374,,,262.5,262.9,258.05,258.6
2015-07-28,BEAR,OIM,TR,NORMAL,SWR,TR,-0.115,,,260.25,263.9,258.4,259.25
2015-07-29,TR,OIM,TR,DOJI,SWR,BEAR,-2.218,,,260.25,260.65,252.35,253.65
2015-07-30,BEAR,OOL,BULL,NORMAL,SWR,TR,0.215,,,254.0,259.5,253.75,257.8
2015-07-31,BULL,OIM,BULL,NORMAL,WAR,BULL,3.565,,,257.6,273.6,257.6,269.25
2015-08-03,BULL,OOH,BULL,NORMAL,WAR,BULL,1.154,,,270.4,283.0,270.0,281.25
2015-08-04,BULL,OOH,BEAR,NORMAL,SWR,BULL,3.194,,,282.35,289.95,277.1,289.0
2015-08-05,BULL,OOH,BEAR,NORMAL,WAR,BEAR,-1.259,,,289.3,291.75,284.25,284.95
2015-08-06,BEAR,OOL,BEAR,NORMAL,WBR,BULL,2.154,,,285.75,290.8,282.15,290.1
2015-08-07,BULL,OOH,BEAR,NORMAL,SWR,BEAR,-1.97,,,288.4,288.4,280.25,281.95
2015-08-10,BEAR,OOL,TR,NORMAL,SWR,TR,-0.493,,,282.35,286.0,280.1,282.5
2015-08-11,TR,OOH,BULL,NORMAL,WAR,BEAR,-6.422,,,286.0,289.4,267.75,268.05
2015-08-12,BEAR,OBR,BEAR,NORMAL,SBR,BEAR,-2.225,,,267.0,267.0,255.1,256.05
2015-08-13,BEAR,OIM,TR,NORMAL,SWR,BEAR,-0.745,,,259.5,262.85,258.2,260.4
2015-08-14,TR,OOH,BEAR,DOJI,SWR,BULL,2.876,,,261.7,269.3,259.3,268.35
2015-08-17,BULL,OAR,BULL,NORMAL,SAR,BULL,2.396,,,272.0,281.9,270.9,279.25
2015-08-18,BULL,OOH,TR,NORMAL,SWR,BULL,2.263,,,280.75,288.0,275.55,284.35
2015-08-19,TR,OIM,TR,NORMAL,SWR,BEAR,-2.268,,,283.3,285.9,275.6,278.4
2015-08-20,BEAR,OOL,TR,NORMAL,SWR,BEAR,-2.845,,,277.4,281.6,268.05,269.9
2015-08-21,BEAR,OBR,BULL,NORMAL,SBR,BULL,2.0,,,261.5,268.85,256.5,267.05
2015-08-24,TR,OBR,BULL,DOJI,SWR,BEAR,-3.991,,,254.0,257.7,242.55,244.55
2015-08-25,BEAR,OIM,BEAR,NORMAL,SWR,BULL,2.704,,,250.1,254.75,240.0,254.2
2015-08-26,TR,OOH,TR,DOJI,SWR,BEAR,-2.484,,,252.0,253.3,245.0,245.65
2015-08-27,BEAR,OOH,BEAR,DOJI,SWR,TR,-0.379,,,251.25,252.0,248.1,249.15
2015-08-28,BEAR,OAR,TR,NORMAL,SAR,BEAR,-1.245,,,253.7,255.9,247.5,248.5
2015-08-31,BEAR,OOL,BEAR,NORMAL,WBR,TR,0.365,,,248.95,251.3,245.2,247.0
2015-09-01,TR,OBR,TR,HUGE OPEN,SBR,BEAR,-1.708,,,244.15,244.15,237.7,239.1
2015-09-02,BEAR,OOH,BEAR,NORMAL,SWR,BEAR,-3.796,,,242.7,242.9,230.1,230.4
2015-09-03,BEAR,OOL,TR,DOJI,SWR,TR,0.454,,,232.4,235.4,231.0,231.9
2015-09-04,TR,OOL,BEAR,HUGE OPEN,WBR,BEAR,-0.727,,,231.5,231.75,224.0,225.0
2015-09-07,BEAR,OIM,BEAR,NORMAL,SWR,BEAR,-2.499,,,227.15,227.5,220.15,221.15
2015-09-08,BEAR,OIM,BULL,NORMAL,SWR,BULL,2.466,,,223.0,230.25,221.3,228.4
