Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2015-10-09,BEAR,Bull Leg,OOH,HUGE OPEN,WBR,TR,,,346.0,359.1,341.2,358.0
2015-10-12,BULL,TR,OOH,NORMAL,WAR,BULL,,,356.45,367.0,356.45,364.0
2015-10-13,BEAR,Bull Leg,OOL,NORMAL,WBR,BULL,,,359.5,365.25,355.1,361.5
2015-10-14,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,,358.75,360.05,351.15,353.55
2015-10-15,BULL,Bull Leg,OIM,HUGE OPEN,WAR,BEAR,,,356.05,383.7,355.95,380.0
2015-10-16,BEAR,TR,OAR,NORMAL,SAR,BULL,,,387.15,390.85,381.15,386.8
2015-10-19,TR,TR,OOL,NORMAL,WBR,TR,,,383.9,383.9,376.35,378.85
2015-10-20,BULL,TR,OIM,DOJI,WAR,BEAR,,,380.0,395.5,377.5,382.4
2015-10-21,TR,TR,OOL,DOJI,SWR,TR,,,379.95,386.4,378.75,381.05
2015-10-23,TR,Bear Leg,OIM,NORMAL,WAR,TR,,,384.0,388.8,382.0,382.6
2015-10-26,TR,Bear Leg,OIM,NORMAL,SWR,TR,,,385.95,389.9,383.25,384.05
2015-10-27,TR,TR,OBR,NORMAL,SWR,TR,,,383.0,386.6,382.2,383.5
2015-10-28,BULL,TR,OOL,NORMAL,SWR,TR,,,382.8,390.75,382.8,386.6
2015-10-29,TR,Bull Leg,OOH,NORMAL,SWR,TR,,,388.85,396.8,384.25,388.45
2015-10-30,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,,389.3,390.7,383.8,384.8
2015-11-02,BULL,TR,OIM,HUGE OPEN,SWR,BEAR,,,387.0,392.0,384.45,388.5
2015-11-03,BEAR,Bear Leg,OOH,NORMAL,SWR,TR,,,391.2,391.25,381.1,382.5
2015-11-04,BULL,TR,OOH,HUGE OPEN,WAR,BEAR,,,390.4,407.15,390.4,406.5
2015-11-05,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,,402.85,412.75,401.45,404.0
2015-11-06,BEAR,TR,OBR,NORMAL,SBR,TR,,,398.9,404.3,392.6,394.15
2015-11-09,BULL,Bull Leg,OBR,HUGE OPEN,SWR,TR,,,375.75,413.45,375.75,412.0
2015-11-10,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,,409.0,417.4,403.0,405.05
2015-11-11,,,OIM,NORMAL,SWR,TR,,,,,,
2015-11-13,BEAR,Bear Leg,OOL,DOJI,WAR,TR,,,410.0,417.2,401.8,404.0
2015-11-16,BEAR,TR,OBR,DOJI,SWR,TR,,,400.65,404.85,394.3,399.75
2015-11-17,TR,Bull Leg,OOH,NORMAL,SWR,TR,,,403.3,410.6,398.55,407.5
2015-11-18,TR,Bear Leg,OOH,NORMAL,WAR,TR,,,407.9,413.5,403.35,406.45
2015-11-19,BEAR,TR,OIM,DOJI,SWR,TR,,,409.5,409.9,403.55,407.3
2015-11-20,TR,Bear Leg,OOH,NORMAL,SWR,TR,,,408.4,410.65,401.4,404.25
2015-11-23,BULL,TR,OBR,NORMAL,SBR,TR,,,399.9,404.35,396.5,402.5
2015-11-24,TR,TR,OIM,NORMAL,SWR,TR,,,400.0,406.5,397.05,401.9
2015-11-26,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,,404.7,426.1,404.4,421.8
2015-11-27,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,,425.45,431.9,416.5,418.0
2015-11-30,BULL,Bear Leg,OOL,NORMAL,SWR,BEAR,,,419.0,429.6,418.05,423.4
2015-12-01,BEAR,Bear Leg,OOH,DOJI,SWR,TR,,,426.35,426.95,416.1,418.0
2015-12-02,TR,Bear Leg,OBR,NORMAL,SWR,BEAR,,,415.9,418.85,410.3,411.5
2015-12-03,TR,Bear Leg,OBR,DOJI,SBR,BEAR,,,408.3,411.85,404.25,406.0
2015-12-04,BULL,Bear Leg,OBR,NORMAL,SWR,TR,,,402.0,411.5,398.7,401.0
2015-12-07,TR,TR,OIM,DOJI,SWR,TR,,,402.8,403.0,395.35,398.0
2015-12-08,BULL,Bear Leg,OOL,HUGE OPEN,WAR,BEAR,,,396.85,406.9,396.1,401.9
2015-12-09,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,,402.5,405.0,392.8,394.5
2015-12-10,BEAR,TR,OIM,HUGE OPEN,WBR,BEAR,,,400.8,400.9,385.3,388.75
2015-12-11,TR,Bear Leg,OIM,DOJI,SWR,BEAR,,,391.1,392.65,375.3,379.0
2015-12-14,BEAR,Bull Leg,OBR,NORMAL,SBR,BEAR,,,369.4,373.1,360.6,372.0
2015-12-15,BEAR,Bull Leg,OOH,NORMAL,SWR,TR,,,371.0,380.95,365.5,379.1
2015-12-16,BULL,Bull Leg,OIM,DOJI,SWR,BULL,,,375.05,384.9,373.0,380.15
2015-12-17,BEAR,TR,OAR,NORMAL,SWR,TR,,,385.8,387.0,376.15,381.95
2015-12-18,TR,Bear Leg,OIM,NORMAL,SWR,TR,,,381.65,384.7,376.9,379.0
2015-12-21,TR,TR,OOL,NORMAL,SWR,TR,,,379.1,382.2,377.5,380.15
2015-12-22,BEAR,TR,OIM,NORMAL,WAR,TR,,,380.6,382.8,377.2,377.55
2015-12-23,TR,TR,OIM,DOJI,SWR,BEAR,,,379.9,380.8,377.5,378.7
2015-12-24,BULL,TR,OIM,DOJI,SWR,TR,,,379.05,384.75,377.95,382.35
2015-12-28,BULL,Bull Leg,OOH,NORMAL,WAR,TR,,,384.1,395.0,383.8,394.85
2015-12-29,TR,Bear Leg,OOH,NORMAL,WAR,BULL,,,392.8,397.5,388.75,390.7
2015-12-30,BEAR,TR,OIM,DOJI,SWR,TR,,,393.0,395.0,390.5,393.85
2015-12-31,TR,Bear Leg,OOH,DOJI,WAR,TR,,,394.65,395.75,389.2,391.6
2016-01-04,TR,Bear Leg,OAR,NORMAL,SAR,TR,,,398.05,399.45,375.05,376.3
2016-01-05,BEAR,Bear Leg,OOL,DOJI,SWR,BEAR,,,381.4,382.45,372.35,373.0
2016-01-06,BEAR,Bear Leg,OOL,DOJI,WBR,BEAR,,,373.95,375.5,364.6,364.95
2016-01-07,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,,357.0,357.0,338.25,344.4
2016-01-08,BULL,Bull Leg,OIM,NORMAL,SWR,BEAR,,,347.0,355.85,346.2,353.9
