Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%
2016-02-02,TR,WithinPrevRange,BULL,Doji,WideRange,BEAR,-2.963
2016-02-03,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-2.115
2016-02-04,TR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-1.1
2016-02-05,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,0.686
2016-02-08,BULL,WithinPrevRange,BEAR,Bull,WideRange,BULL,2.095
2016-02-09,TR,WithinPrevRange,TR,Bull,WideRange,BULL,1.288
2016-02-10,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-2.039
2016-02-11,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-4.609
2016-02-12,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.146
2016-02-15,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-2.161
2016-02-16,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-3.221
2016-02-17,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BULL,3.347
2016-02-18,TR,GapUp>PrevHigh,TR,Bull,WideRange,BEAR,-3.421
2016-02-19,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-0.71
2016-02-22,TR,GapUp>PrevHigh,TR,Bear,WideRange,BEAR,-2.826
2016-02-23,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.169
2016-02-24,BEAR,WithinPrevRange,TR,Bear,WideRange,BULL,1.074
2016-02-25,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.72
2016-02-26,BEAR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.576
2016-02-29,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-3.133
2016-03-01,BEAR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.599
2016-03-02,BULL,GapUp>PrevHigh,BULL,Bull,WideRange,BULL,0.725
2016-03-03,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.958
2016-03-04,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.56
2016-03-08,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,0.629
2016-03-09,TR,WithinPrevRange,TR,Bear,WideRange,BULL,4.392
2016-03-10,BULL,GapUp>PrevHigh,BEAR,Bull,WideRange,BEAR,-2.169
2016-03-11,BEAR,WithinPrevRange,BULL,Bear,WideRange,TR,-0.532
2016-03-14,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-1.282
2016-03-15,TR,WithinPrevRange,BULL,Bull,WideRange,TR,0.075
2016-03-16,TR,GapUp>PrevHigh,BEAR,Bear,WideRange,BEAR,-2.446
2016-03-17,BEAR,WithinPrevRange,TR,Doji,WideRange,BULL,0.896
2016-03-18,TR,WithinPrevRange,TR,Bear,WideRange,BULL,1.552
