Date,OpeningTrend,OpenLocation,PrevDayContext,FirstCandleType,RangeStatus,Result,ResultRet%
2016-02-15,TR,OOH,BULL,NORMAL,WAR,BULL,4.578
2016-02-16,BEAR,OOH,BULL,DOJI,WAR,BEAR,-4.646
2016-02-17,BEAR,OOL,BEAR,NORMAL,SWR,BULL,1.891
2016-02-18,BEAR,OAR,BULL,NORMAL,SAR,TR,-0.269
2016-02-19,BULL,OIM,TR,NORMAL,SWR,BULL,1.238
2016-02-22,BULL,OOH,BULL,NORMAL,WAR,BEAR,-1.347
2016-02-23,BEAR,OOH,TR,NORMAL,SWR,TR,-0.063
2016-02-24,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-1.813
2016-02-25,BEAR,OIM,BEAR,NORMAL,SWR,BEAR,-3.564
2016-02-26,BEAR,OIM,BEAR,NORMAL,SWR,TR,-0.429
2016-02-29,BULL,OOH,TR,NORMAL,SWR,BEAR,-0.875
2016-03-01,BULL,OOH,TR,DOJI,WAR,BULL,2.489
2016-03-02,BEAR,OAR,BULL,NORMAL,SAR,BEAR,-1.029
2016-03-03,BULL,OOH,BEAR,DOJI,WAR,BULL,3.038
2016-03-04,BULL,OAR,BULL,NORMAL,SWR,TR,-0.462
2016-03-08,BULL,OOH,TR,NORMAL,SWR,BEAR,-0.704
2016-03-09,BULL,OBR,TR,DOJI,SBR,BULL,2.81
2016-03-10,BULL,OOH,BULL,NORMAL,WAR,BEAR,-0.911
2016-03-11,BULL,OIM,TR,DOJI,SWR,BULL,0.696
2016-03-14,BULL,OAR,BULL,HUGE OPEN,SAR,BEAR,-0.678
2016-03-15,BULL,OIM,TR,NORMAL,SWR,BEAR,-2.321
2016-03-16,BEAR,OOL,BEAR,NORMAL,WBR,TR,0.42
2016-03-17,BULL,OAR,TR,NORMAL,SAR,BEAR,-1.176
2016-03-18,BEAR,OIM,BEAR,NORMAL,SWR,TR,0.578
2016-03-21,BEAR,OOH,TR,NORMAL,WAR,BULL,2.235
2016-03-22,BEAR,OAR,BULL,NORMAL,SWR,BULL,1.097
2016-03-23,BEAR,OOH,TR,NORMAL,SWR,BULL,0.641
2016-03-28,BEAR,OOL,TR,NORMAL,WBR,BEAR,-2.626
2016-03-29,BULL,OOL,BEAR,DOJI,SWR,BULL,1.575
2016-03-30,BEAR,OAR,TR,NORMAL,SWR,BULL,2.193
2016-03-31,TR,OIM,BULL,DOJI,SWR,TR,-0.593
2016-04-01,BEAR,OIM,TR,NORMAL,SWR,BEAR,-0.81
2016-04-04,BULL,OOH,BEAR,DOJI,WAR,TR,-0.154
2016-04-05,BEAR,OOL,TR,NORMAL,WBR,BEAR,-3.192
2016-04-06,BULL,OOL,BEAR,NORMAL,SWR,TR,0.279
2016-04-07,BEAR,OIM,TR,NORMAL,SWR,TR,0.013
2016-04-08,BEAR,OIM,TR,NORMAL,SWR,BEAR,-1.721
2016-04-11,BULL,OIM,TR,NORMAL,SWR,BULL,2.212
2016-04-12,BULL,OOH,BULL,NORMAL,WAR,BULL,1.087
2016-04-13,BULL,OAR,BULL,NORMAL,SAR,BULL,1.201
2016-04-18,BEAR,OOH,BULL,DOJI,SWR,BULL,0.728
2016-04-20,BULL,OIM,TR,HUGE OPEN,SWR,BEAR,-1.246
2016-04-21,BULL,OOH,TR,DOJI,WAR,BEAR,-1.14
2016-04-22,BULL,OIM,TR,NORMAL,SWR,BULL,1.323
2016-04-25,TR,OOH,TR,NORMAL,SWR,TR,-0.363
2016-04-26,TR,OBR,BEAR,NORMAL,SBR,BULL,2.964
2016-04-27,BULL,OOH,BULL,NORMAL,WAR,BEAR,-1.462
2016-04-28,TR,OIM,TR,DOJI,SWR,BEAR,-1.509
2016-04-29,BULL,OBR,BEAR,NORMAL,SWR,TR,-0.462
2016-05-02,BEAR,OIM,TR,NORMAL,SWR,BULL,0.642
2016-05-03,BULL,OAR,TR,HUGE OPEN,SAR,BEAR,-1.781
2016-05-04,BEAR,OBR,TR,NORMAL,SBR,BEAR,-3.917
2016-05-05,TR,OOL,BEAR,NORMAL,SWR,BULL,1.437
2016-05-06,TR,OIM,TR,NORMAL,SWR,BULL,2.82
2016-05-09,TR,OOH,BULL,NORMAL,WAR,BULL,0.825
2016-05-10,BEAR,OIM,TR,NORMAL,WBR,BEAR,-1.042
2016-05-11,BULL,OBR,BEAR,NORMAL,SBR,TR,-0.589
2016-05-12,BULL,OOL,TR,NORMAL,SWR,BULL,0.938
2016-05-13,TR,OAR,BULL,NORMAL,SWR,TR,0.167
2016-05-16,TR,OOH,TR,NORMAL,WAR,BEAR,-0.645
2016-05-17,BULL,OIM,TR,HUGE OPEN,WBR,TR,-0.599
2016-05-18,BEAR,OBR,TR,NORMAL,SBR,TR,0.104
2016-05-19,BULL,OOH,TR,DOJI,WAR,BEAR,-0.857
2016-05-20,BULL,OIM,TR,NORMAL,SWR,BEAR,-1.638
2016-05-23,TR,OIM,TR,NORMAL,SWR,BEAR,-1.449
2016-05-24,BULL,OIM,BEAR,DOJI,SWR,BULL,0.725
2016-05-25,BULL,OAR,BULL,NORMAL,SAR,TR,-0.214
2016-05-26,BEAR,OAR,TR,NORMAL,SWR,TR,-0.188
2016-05-27,BEAR,OIM,TR,DOJI,SWR,BULL,1.774
2016-05-30,BULL,OOH,TR,HUGE OPEN,WAR,BULL,1.903
2016-05-31,TR,OAR,BULL,DOJI,SAR,TR,0.252
2016-06-01,BULL,OIM,TR,DOJI,SWR,BEAR,-0.914
2016-06-02,BULL,OBR,BEAR,HUGE OPEN,WAR,BEAR,-0.863
2016-06-03,BEAR,OOH,TR,NORMAL,SWR,BEAR,-0.678
2016-06-06,TR,OIM,BEAR,DOJI,SWR,TR,0.055
2016-06-07,BEAR,OOH,TR,DOJI,SWR,TR,0.076
2016-06-08,TR,OAR,TR,NORMAL,SAR,TR,-0.107
2016-06-09,BULL,OOH,TR,DOJI,WAR,TR,-0.586
2016-06-10,BEAR,OOL,TR,NORMAL,WBR,BEAR,-1.648
2016-06-13,BEAR,OBR,BEAR,NORMAL,SBR,BEAR,-0.749
2016-06-14,BULL,OOH,TR,DOJI,SWR,TR,-0.1
2016-06-15,TR,OIM,TR,NORMAL,SWR,TR,0.155
2016-06-16,BULL,OIM,TR,NORMAL,SWR,BULL,1.08
2016-06-17,BEAR,OAR,TR,NORMAL,SAR,BULL,1.331
2016-06-20,BULL,OOH,TR,NORMAL,SWR,BULL,3.736
2016-06-21,TR,OOH,BULL,NORMAL,SWR,BULL,0.99
2016-06-22,BEAR,OIM,TR,HUGE OPEN,WBR,BEAR,-0.839
2016-06-23,BULL,OIM,BEAR,NORMAL,SWR,BULL,1.56
2016-06-24,TR,OBR,BULL,HUGE OPEN,SBR,BULL,1.727
2016-06-27,BEAR,OAR,TR,DOJI,SWR,TR,0.223
2016-06-28,BEAR,OBR,BEAR,DOJI,SBR,TR,0.25
2016-06-29,TR,OAR,TR,DOJI,SAR,TR,0.112
2016-06-30,BULL,OAR,TR,NORMAL,SAR,BULL,1.209
2016-07-01,BEAR,OAR,TR,NORMAL,SWR,BEAR,-0.78
2016-07-04,BULL,OAR,TR,NORMAL,SAR,BEAR,-0.771
2016-07-05,BEAR,OOL,TR,NORMAL,WBR,BEAR,-1.127
2016-07-07,BULL,OBR,BEAR,NORMAL,SWR,BEAR,-1.428
2016-07-08,TR,OOH,TR,DOJI,SWR,TR,0.247
2016-07-11,BULL,OAR,TR,HUGE OPEN,SAR,BULL,1.562
2016-07-12,TR,OOH,BULL,NORMAL,WAR,TR,-0.524
2016-07-13,BEAR,OIM,TR,NORMAL,SWR,BEAR,-0.907
2016-07-14,BULL,OOL,BEAR,NORMAL,SWR,TR,0.33
2016-07-15,TR,OOL,TR,NORMAL,SWR,BULL,2.289
2016-07-18,BULL,OIM,BULL,NORMAL,WAR,BEAR,-1.74
2016-07-19,BULL,OOL,TR,NORMAL,SWR,TR,-0.259
