Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow
2016-03-29,BULL,Bull Leg,OOL,DOJI,SWR,BEAR,,
2016-03-30,BEAR,Bull Leg,OAR,NORMAL,SWR,TR,,
2016-03-31,TR,TR,OIM,DOJI,SWR,BULL,,
2016-04-01,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-04-04,BULL,TR,OOH,DOJI,WAR,BEAR,,
2016-04-05,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,
2016-04-06,BULL,TR,OOL,NORMAL,SWR,BEAR,,
2016-04-07,BEAR,TR,OIM,NORMAL,SWR,TR,,
2016-04-08,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-04-11,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-04-12,BULL,Bull Leg,OOH,NORMAL,WAR,BULL,,
2016-04-13,BULL,Bull Leg,OAR,NORMAL,SAR,BULL,,
2016-04-18,BEAR,Bull Leg,OOH,DOJI,SWR,BULL,,
2016-04-20,BULL,Bear Leg,OIM,HUGE OPEN,SWR,TR,,
2016-04-21,BULL,Bear Leg,OOH,DOJI,WAR,TR,,
2016-04-22,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-04-25,TR,TR,OOH,NORMAL,SWR,TR,,
2016-04-26,TR,Bull Leg,OBR,NORMAL,SBR,BEAR,,
2016-04-27,BULL,Bear Leg,OOH,NORMAL,WAR,BULL,,
2016-04-28,TR,Bear Leg,OIM,DOJI,SWR,TR,,
2016-04-29,BULL,TR,OBR,NORMAL,SWR,BEAR,,
2016-05-02,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-05-03,BULL,Bear Leg,OAR,HUGE OPEN,SAR,TR,,
2016-05-04,BEAR,Bear Leg,OBR,NORMAL,SBR,TR,,
2016-05-05,TR,Bull Leg,OOL,NORMAL,SWR,BEAR,,
2016-05-06,TR,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-05-09,TR,Bull Leg,OOH,NORMAL,WAR,BULL,,
2016-05-10,BEAR,Bear Leg,OIM,NORMAL,WBR,TR,,
2016-05-11,BULL,TR,OBR,NORMAL,SBR,BEAR,,
2016-05-12,BULL,Bull Leg,OOL,NORMAL,SWR,TR,,
2016-05-13,TR,TR,OAR,NORMAL,SWR,BULL,,
2016-05-16,TR,Bear Leg,OOH,NORMAL,WAR,TR,,
2016-05-17,BULL,TR,OIM,HUGE OPEN,WBR,TR,,
2016-05-18,BEAR,TR,OBR,NORMAL,SBR,TR,,
2016-05-19,BULL,Bear Leg,OOH,DOJI,WAR,TR,,
2016-05-20,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-05-23,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-05-24,BULL,Bull Leg,OIM,DOJI,SWR,BEAR,,
2016-05-25,BULL,TR,OAR,NORMAL,SAR,BULL,,
2016-05-26,BEAR,TR,OAR,NORMAL,SWR,TR,,
2016-05-27,BEAR,Bull Leg,OIM,DOJI,SWR,TR,,
2016-05-30,BULL,Bull Leg,OOH,HUGE OPEN,WAR,TR,,
2016-05-31,TR,TR,OAR,DOJI,SAR,BULL,,
2016-06-01,BULL,Bear Leg,OIM,DOJI,SWR,TR,,
2016-06-02,BULL,Bear Leg,OBR,HUGE OPEN,WAR,BEAR,,
2016-06-03,BEAR,Bear Leg,OOH,NORMAL,SWR,TR,,
2016-06-06,TR,TR,OIM,DOJI,SWR,BEAR,,
2016-06-07,BEAR,TR,OOH,DOJI,SWR,TR,,
2016-06-08,TR,TR,OAR,NORMAL,SAR,TR,,
2016-06-09,BULL,TR,OOH,DOJI,WAR,TR,,
2016-06-10,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,
2016-06-13,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2016-06-14,BULL,TR,OOH,DOJI,SWR,TR,,
2016-06-15,TR,TR,OIM,NORMAL,SWR,TR,,
2016-06-16,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2016-06-17,BEAR,Bull Leg,OAR,NORMAL,SAR,TR,,
2016-06-20,BULL,Bull Leg,OOH,NORMAL,SWR,TR,,
2016-06-21,TR,Bull Leg,OOH,NORMAL,SWR,BULL,,
2016-06-22,BEAR,Bear Leg,OIM,HUGE OPEN,WBR,TR,,
2016-06-23,BULL,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2016-06-24,TR,Bull Leg,OBR,HUGE OPEN,SBR,BULL,,
2016-06-27,BEAR,TR,OAR,DOJI,SWR,TR,,
2016-06-28,BEAR,TR,OBR,DOJI,SBR,BEAR,,
2016-06-29,TR,TR,OAR,DOJI,SAR,TR,,
2016-06-30,BULL,Bull Leg,OAR,NORMAL,SAR,TR,,
2016-07-01,BEAR,Bear Leg,OAR,NORMAL,SWR,TR,,
2016-07-04,BULL,Bear Leg,OAR,NORMAL,SAR,TR,,
2016-07-05,BEAR,Bear Leg,OOL,NORMAL,WBR,TR,,
2016-07-07,BULL,Bear Leg,OBR,NORMAL,SWR,BEAR,,
2016-07-08,TR,TR,OOH,DOJI,SWR,TR,,
2016-07-11,BULL,Bull Leg,OAR,HUGE OPEN,SAR,TR,,
2016-07-12,TR,TR,OOH,NORMAL,WAR,BULL,,
2016-07-13,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-07-14,BULL,TR,OOL,NORMAL,SWR,BEAR,,
2016-07-15,TR,Bull Leg,OOL,NORMAL,SWR,TR,,
2016-07-18,BULL,Bear Leg,OIM,NORMAL,WAR,BULL,,
2016-07-19,BULL,TR,OOL,NORMAL,SWR,TR,,
2016-07-20,BEAR,Bear Leg,OOL,NORMAL,SWR,TR,,
2016-07-21,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,
2016-07-22,TR,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2016-07-25,BEAR,Bull Leg,OOH,DOJI,SWR,BULL,,
2016-07-26,BULL,Bear Leg,OIM,HUGE OPEN,WAR,BULL,,
2016-07-27,BULL,TR,OIM,NORMAL,SWR,TR,,
2016-07-28,BEAR,TR,OIM,DOJI,SWR,TR,,
2016-07-29,TR,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-08-01,BULL,TR,OIM,NORMAL,SWR,BEAR,,
2016-08-02,BULL,Bear Leg,OIM,NORMAL,SWR,TR,,
2016-08-03,BEAR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2016-08-04,BULL,Bull Leg,OIM,DOJI,SWR,BEAR,,
